;AZ;Glucose;Natrium;Kalium;Calcium;Mg;Fosf;Kcal;Vet
Samenstelling D;0,088;0;0,01;0,025;0,018;0,01;0,03;0,35;0
Samenstelling B;0,074;0;0,007142857;0,017;0,025;0,006;0,021;0,29;0
Samenstelling C;0,08;0;0,008;0,02;0,028;0,008;0,024;0,32;0
Samenstelling D;0,088;0;0,01;0,025;0,018;0,01;0,03;0,35;0
Samenstelling E;0,083;0;0,0125;0,031;0,026;0,0125;0,038;0,33;0
Nutriflex 70/240;0,07;0,24;0,0405;0,0257;0,0041;0,005;0,0147;0,96;0
Glucose 5%;0;0,05;0;0;0;0;0;0;0
Glucose 10%;0;0,1;0;0;0;0;0;0;0
Glucose 12,5 %;0;0,125;0;0;0;0;0;0;0
Glucose 15%;0;0,15;0;0;0;0;0;0;0
Glucose 17,5%;0;0,175;0;0;0;0;0;0;0
Glucose 20%;0;0,2;0;0;0;0;0;0;0
Glucose 25%;0;0,25;0;0;0;0;0;0;0
Glucose 30%;0;0,3;0;0;0;0;0;0;0
Glucose 40%;0;0,4;0;0;0;0;0;0;0
Glucose 50%;0;0,5;0;0;0;0;0;0;0
Glucose 7,5% + NaCl 0,225%;0;0,075;0,038;0;0;0;0;0;0
Glucose 2,5% + NaCl 0,45%;0;0,025;0,076;0;0;0;0;0;0
NaCl 0,9%;0;0;0,155;0;0;0;0;0;0
NaCl 2,9%;0;0;0;0,5;0;0;0;0;0
KCl 7,4%;0;0;0;1;0;0;0;0;0
CaGluc 10%;0;0;0;0;0;0;0;0;0
MgCl 10%;0;0;0;0;0;0;0;0;0
KNaFosfaat;0;0;0;0;0;0;0;0;0
Lipiden;0;0;0;0;0;0;0;0;0
Intralipid 20%;0;0;0;0;0;0;0;0;0
Vitintra Infant;0;0;0;0;0;0;0;0;0
Soluvit;0;0;0;0;0;0;0;0;0
